file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00046_00517.350-00522.600,ད་ཉོན་མོངས་སྤངས་པའི་ད་དགྲ་བཅོམ་པ། རེད་ད། ཉོན་མོངས་སྤངས་པའི་བྲལ་བའི་ཡོན་ཏན་མངོན་དུ་མ་འགྱུར་བར་དུ།  ,da nyon mongs spangs pa'i da dgra bcom pa/_red da/_nyon mongs spangs pa'i bral ba'i yon tan mngon du ma 'gyur bar du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00046_00517.350-00522.600.wav,STT_TT,3,98,5.25,wav16k/STT_TT00046_00517.350-00522.600.wav,ད་ཉོན་མོངས་སྤངས་པའི་ད་དགྲ་བཅོམ་པ། རེད། ཉོན་མོངས་སྤངས་པའི་བྲལ་བའི་ཡོན་ཏན་མངོན་དུ་མ་གྱུར་བར་དུ།
STT_TT00046_05142.400-05144.850,གཏོང་ལེན་གི་དམིགས་པ་བྱས་ནས། མི་གཙང་བའི་ལུས་འདི་ཉིད་ ,gtong len gi dmigs pa byas nas/_mi gtsang ba'i lus 'di nyid _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00046_05142.400-05144.850.wav,STT_TT,3,52,2.450000000000728,wav16k/STT_TT00046_05142.400-05144.850.wav,གཏོང་ལེན་གི་དམིགས་པ་བྱས་ནས། མི་གཙང་བའི་ལུས་འདི་ཉིད།
STT_NS_M0026_0138_987550_to_995211,མི་ཁ་ཤས་ད་ཡ་ཡུད་འདུག ངས་དོ་སྣང་བྱས་རཱ་ཚང་མ་ཀ་ཅི་སྐྱེས་སྐར་ལ་ཏག་ཏག་ཏག་འདུག་ད་རཱ། ཨོ་དེ་ཏོག་ཙི་ཅིག་ག་རེ་ལབ་དགོས་རེད། ཟིང་ཚ་བོ་འདྲ་བོ་མཐོང་ཡ་གཅིག་ཡོད་བ།  ,mi kha shas da ya yud 'dug_ngas do snang byas rA tshang ma ka ci skyes skar la tag tag tag 'dug da rA/_o de tog tsi cig ga re lab dgos red/_zing tsha bo 'dra bo mthong ya gcig yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0026_0138_987550_to_995211.wav,STT_NS,3,151,7.661,wav16k/STT_NS_M0026_0138_987550_to_995211.wav,མི་ཁ་ཤས་ད་ཡ་ཡུད་འདུག་ང་དོ་སྣང་བྱས་རཱ། ཚང་མ་ཀ་ཅི་སྐྱེས་སྐར་ལ་ཏག་ཏག་ཏག་ཏག་ཏག་ཏག་ཏག་འདུག་ད་རཱ། ཨོ་དེ་ཏོག་ཙི་ཅིག་ག་རེ་ལབ་དགོས་རེད། ཟིང་ཚ་བོ་འདྲ་བོ་མཐོང་ཡ་ཅིག་ཡོད་བ།
STT_TT00045_03620.700-03624.250,རེད་དེ། ང་ཚོ་དེའི་ཚེ་དེའི་དུས་ལ་ཡ། ང་རང་ཚོ་དེ་གས་དེ།  ,red de/_nga tsho de'i tshe de'i dus la ya/_nga rang tsho de gas de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00045_03620.700-03624.250.wav,STT_TT,3,54,3.550000000000182,wav16k/STT_TT00045_03620.700-03624.250.wav,རེད་དེ། ང་ཚོ་དེའི་ཚེ་དེའི་དུས་ལ་ཡ། ང་རང་ཚོ་དེ་གས་དེ།
STT_TT00042_03113.100-03119.700,ཨེ་ནས། ཨ་ཀུན་འབྱུང་རྗེས་མཐུན་པ་ཟེར་ཡ་ཆགས་ཀི་ཡོད་རེད། དེ་མེད་ན་མ་རིག་པའི་ཀུན་ནས་བླངས་ཏེ་ལས་སྣ་ཚོགས་ཅིག ,e nas/_a kun 'byung rjes mthun pa zer ya chags ki yod red/_de med na ma rig pa'i kun nas blangs te las sna tshogs cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00042_03113.100-03119.700.wav,STT_TT,3,102,6.599999999999909,wav16k/STT_TT00042_03113.100-03119.700.wav,ཨེ་ནས། ཨེ། ཀུན་འབྱུང་རྗེས་མཐུན་པ་ཟེར་ཡ་ཆགས་ཀི་ཡོད་རེད། དེ་མེད་ན་ངས་མ་རིག་པས་ཀུན་ནས་བསླངས་ཏེ་ལས་སྣ་ཚོགས་ཅིག
STT_NS_M0029_0035_257402_to_266605,ཆུང་ཆུང་སྐབས་སུ་ཨ་མ་ལགས་ལ་བལྟ་དུས་ཙམ་པ་ཡོད་བ། ངའི་ཨ་མ་ལགས་ཨེ་འདྲའི་འདྲ་བོ་ཡོད་རེད། ག་རེ་མི་ལ་ཡོད་བ་འཆམ་མདོག་འདྲ་བོ་བྱས་ཨེ་འདྲའི་དགའ་བོ་ཡོད་མ་རེད་ཡོད་བ། ཨེ་ནས་ད་སོ་སོ་ཏག་ཏག་འདྲ་བོ་བསྡད་ཀི་རེད།  ,chung chung skabs su a ma lags la blta dus tsam pa yod ba/_nga'i a ma lags e 'dra'i 'dra bo yod red/_ga re mi la yod ba 'cham mdog 'dra bo byas e 'dra'i dga' bo yod ma red yod ba/_e nas da so so tag tag 'dra bo bsdad ki red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0029_0035_257402_to_266605.wav,STT_NS,3,193,9.203,wav16k/STT_NS_M0029_0035_257402_to_266605.wav,ཆུང་ཆུང་སྐབས་སུ་ཨ་མ་ལགས་ལ་བལྟ་དུས་ཙམ་པ་ཡོད་བ། ངའི་ཨ་མ་ལགས་ཨེ་འདྲའི་འདྲ་བོ་ཡོད་རེད། ག་རེ་མི་ལ་ཡོད་བ་འཆམ་མྱོག་ཁ་བོ་འདྲ་བོ་བྱེདཡ་ཨེ་འདྲའི་དགའ་བོ་ཡོད་མ་རེད་ཡོད་བ། ཨེ་ནས་ད་སོ་སོ་ཏག་ཏག་འདྲ་བོ་བསྡད་ཀི་།
STT_TT00047_03159.700-03162.450,ཁོ་ཁ་ཐུག་ཁ་ཐུག ཁ་ཁ་རུ་ཐུག་ཁ་ཐུག་བྱས་བྱས་བསྡད་ཡ་ཁོ་རའི་མ་གཏོགས།  ,kho kha thug kha thug_kha kha ru thug kha thug byas byas bsdad ya kho ra'i ma gtogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00047_03159.700-03162.450.wav,STT_TT,3,64,2.75,wav16k/STT_TT00047_03159.700-03162.450.wav,ཁོ་ཁ་ཐུག་ཁ་ཐུག ཁ་ཐུག ཁ་ཐུག་ཁ་ཐུག་བྱས་བྱས་བསྡད་ཡ་ཁོ་རངད་མ་གཏོགས།
STT_TT00041_05031.650-05036.900,ད་ནམ་རྒྱུན་ཨ་ལྟ་ཕུ་ཚུགས་གསོལ་འདེབས། སྐུ་བཞིའི་བདག་ཉིད་བླ་མ་ལྷག་པའི་ལྷ། ཐུབ་དབང་རྡོ་རྗེ་འཆང་ལ་གསོལ་བ་འདེབས། ཟེར་ཡ་ཚིག་འདི་ནུས་པ་ཆེན་པོ་ཞེ་དྲག་འདུག་གཱ།  ,da nam rgyun a lta phu tshugs gsol 'debs/_sku bzhi'i bdag nyid bla ma lhag pa'i lha/_thub dbang rdo rje 'chang la gsol ba 'debs/_zer ya tshig 'di nus pa chen po zhe drag 'dug gA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00041_05031.650-05036.900.wav,STT_TT,3,151,5.25,wav16k/STT_TT00041_05031.650-05036.900.wav,ད་ནམ་རྒྱུན་ཨ་ལྟ་ཕུར་ཚུགས་གསོན་འདབ་། སྐུ་བཞིའི་བདག་ཉིད་བླ་མ་ལྷག་པསི་ལ། ཐུབ་དབང་རྡོ་རྗེ་འཆང་ལ་གསོལ་བ་འདེབས། ཟེར་ཡ་ཚིག་དེ་ནུས་པ་ཆེན་པོ་ཞེ་དྲག་འདུག་ག
STT_NS0161_0094_757695_to_764918,ནང་ཆོས་འདི་ད་ཚན་རིག་དང་མཐུན་དུས་ཙམ་པ། ཨེ་ནས་དེ་ལ་ཡ་སློབ་སྦྱོང་བྱེད་ཡ་ཡོད་རཱ། འོ་དེ་ཚོ་བྱེད་ཡ་ལ་ཨེ་ནས་དང་པོ་ཁྱེད་རང་ག་རེ་བྱེད་དགོས་རེད།  ,nang chos 'di da tshan rig dang mthun dus tsam pa/_e nas de la ya slob sbyong byed ya yod rA/_'o de tsho byed ya la e nas dang po khyed rang ga re byed dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0161_0094_757695_to_764918.wav,STT_NS,3,136,7.223,wav16k/STT_NS0161_0094_757695_to_764918.wav,ྱོ་དེ་ད་གསལ་རིགས་དང་བསྟུན་ཡིན་དུས་ཙམ་པ། ཨེ་ནས་དེ་ལ་ཡ་སློབ་སྦྱོང་བྱེད་ཡ་ཡོད་རཱེ། ཨོ་དེ་ཚོ་ཨེ་ནབྱེད་ཡ་ལ་ཨེ་ནས་དང་པོ་ཁྱེད་རང་ག་རེ་བྱེད་དགོས་རེད།
STT_TT00046_04603.950-04608.050,བྱིས་པ་རྣམས་ནས་མ་མཐོང་ན། རྟག་ཏུ་བདེ་བ་ཉིད་དུ་འགྱུར། གསུང་བསྡད་ཡ་གི་བྱིས་པ་འདི།  ,byis pa rnams nas ma mthong na/_rtag tu bde ba nyid du 'gyur/_gsung bsdad ya gi byis pa 'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00046_04603.950-04608.050.wav,STT_TT,3,80,4.100000000000364,wav16k/STT_TT00046_04603.950-04608.050.wav,བྱིས་པ་རྣམས་ནི་མ་མཐོང་ན། རྟག་ཏུ་བདེ་བ་ཉིད་དུ་འགྱུར། གསུངས་བསྡད་ཡ་གི་བྱིས་པ་དེ།
